,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Nico Hischier,NJ,C,25,5,11,16,-6,4,55,0,1,4,1,0,26,15
Tyson Jost,COL,C,28,5,4,9,6,12,49,0,0,1,0,0,19,9
Marc-Edouard Vlasic,SJ,D,33,5,4,9,0,0,30,1,0,0,1,0,24,45
Patrick Maroon,TB,LW,27,5,6,11,1,31,44,0,1,1,0,0,47,4
Noel Acciari,FLA,C,27,5,2,7,-6,2,38,2,0,0,0,0,47,42
Alex Tuch,VGK,RW,16,5,5,10,-2,4,34,1,2,2,0,0,16,7
Ivan Barbashev,STL,LW,32,5,10,15,3,7,34,1,0,0,1,1,66,21
Marcus Sorensen,SJ,RW,30,5,4,9,-10,20,38,0,0,0,0,0,29,6
Brandon Sutter,VAN,C,19,5,3,8,5,7,42,0,0,0,0,0,4,8
Derek Stepan,ARI,C,33,5,6,11,-5,10,70,2,1,4,0,0,19,20
Carter Rowney,ANH,C,31,5,3,8,0,12,36,1,0,0,1,0,89,15
Sammy Blais,STL,LW,20,5,3,8,2,10,29,1,0,0,0,0,70,6
Nick Schmaltz,ARI,RW,33,5,17,22,2,8,45,2,1,5,0,0,7,18
Ryan Donato,MIN,C,28,5,3,8,5,6,42,0,0,0,0,0,20,3
Gabriel Landeskog,COL,LW,15,5,4,9,-3,18,34,2,0,2,0,0,30,7
Danton Heinen,BOS,C,32,5,8,13,4,4,43,2,2,2,0,0,14,23
Jacob Trouba,NYR,D,30,5,12,17,1,14,83,1,2,4,0,2,76,60
Brad Hunt,MIN,D,31,5,7,12,-2,0,45,0,2,5,0,0,6,16
Zdeno Chara,BOS,D,32,5,7,12,18,27,46,2,0,0,0,0,40,51
Sidney Crosby,PIT,C,17,5,12,17,-1,7,46,0,1,2,0,0,17,7
Nicklas Backstrom,WAS,C,25,5,16,21,-2,2,57,0,1,7,0,0,12,18
Kirby Dach,CHI,C,25,5,5,10,-1,4,36,2,0,1,0,0,12,7
Conor Sheary,BUF,LW,27,5,4,9,4,4,44,1,1,1,0,0,18,15
Clayton Keller,ARI,C,33,5,16,21,-7,10,90,0,1,10,0,0,11,4
Aaron Ekblad,FLA,D,29,5,12,17,10,14,72,1,0,1,0,1,13,38
Ryan Graves,COL,D,30,5,7,12,23,29,49,0,0,0,0,1,46,67
Christian Fischer,ARI,RW,32,5,2,7,9,8,58,1,0,0,0,0,76,16
Brendan Lemieux,NYR,LW,29,5,7,12,-4,59,49,0,1,1,1,1,69,34
Zemgus Girgensons,BUF,C,32,5,4,9,3,8,35,1,0,0,0,0,47,6
Matt Nieto,COL,LW,31,5,9,14,7,2,42,1,0,0,1,0,22,8
Marcus Johansson,BUF,LW,25,5,8,13,0,12,23,1,1,1,0,0,22,11
Kyle Turris,NSH,C,22,5,6,11,-3,6,37,2,2,1,0,0,4,3
Kevin Shattenkirk,TB,D,29,5,17,22,12,16,66,0,1,5,0,0,25,29
Michael Amadio,LA,C,30,5,6,11,-7,6,52,0,0,3,0,0,15,9
Pavel Buchnevich,NYR,LW,30,5,14,19,2,8,47,0,1,3,0,0,29,11
Derek Ryan,CGY,C,33,5,12,17,9,4,51,0,0,2,0,1,8,17
Alex Iafallo,LA,C,32,5,9,14,-3,6,63,2,1,2,0,0,22,18
Cody Glass,VGK,C,32,4,7,11,-7,6,42,0,1,5,0,0,12,5
Ilya Mikheyev,TOR,RW,32,4,13,17,5,4,76,0,0,0,0,0,26,12
Jesper Fast,NYR,RW,29,4,6,10,2,8,30,0,0,0,1,0,47,17
Vinnie Hinostroza,ARI,C,33,4,6,10,4,6,56,0,0,0,0,0,24,11
Shayne Gostisbehere,PHI,D,28,4,6,10,-2,12,45,1,1,4,0,0,13,24
Artem Anisimov,OTT,C,14,4,0,4,-8,4,25,0,1,0,0,0,2,8
Wayne Simmonds,NJ,RW,30,4,7,11,-12,28,68,0,3,1,0,0,68,13
Brian Boyle,FLA,C,22,4,4,8,-3,8,32,0,0,0,0,0,37,23
Jason Spezza,TOR,C,21,4,8,12,-5,12,30,0,1,2,0,0,7,10
Mikael Granlund,NSH,C,27,4,8,12,-2,12,63,0,0,1,0,0,17,20
Vincent Trocheck,FLA,C,23,4,10,14,-2,8,57,0,0,2,1,0,31,18
Mattias Ekholm,NSH,D,29,4,11,15,3,10,72,1,0,1,1,1,21,47
Johan Larsson,BUF,C,29,4,8,12,8,16,32,0,0,0,0,0,43,17
Scott Mayfield,NYI,D,29,4,5,9,5,17,46,1,0,0,0,1,50,43
Adam Lowry,WPG,LW,29,4,2,6,3,16,39,1,0,0,1,0,77,16
Nick Cousins,MON,C,26,4,6,10,1,4,52,0,2,1,0,0,44,14
Tim Schaller,VAN,C,31,4,0,4,-8,10,35,0,0,0,1,0,26,16
Nikolay Prokhorkin,LA,LW,14,4,2,6,2,2,16,1,0,0,0,0,15,2
Mathieu Joseph,TB,RW,28,4,3,7,0,14,28,0,0,0,0,1,30,8
Travis Zajac,NJ,C,30,4,6,10,-2,12,29,0,0,0,0,0,32,11
Jason Dickinson,DAL,C,28,4,5,9,5,2,36,1,0,0,0,0,44,23
Brady Skjei,NYR,D,29,4,7,11,-1,27,61,0,0,0,0,1,46,40
Pierre-Edouard Bellemare,COL,C,30,4,6,10,7,8,28,0,0,0,0,1,17,21
Adrian Kempe,LA,C,31,4,6,10,-4,14,63,0,1,1,0,1,36,4
Tomas Nosek,VGK,LW,30,4,2,6,2,8,42,0,0,0,1,0,34,16
Connor Brown,OTT,RW,32,4,15,19,3,8,72,0,0,1,0,0,11,21
Casey Cizikas,NYI,C,24,4,4,8,7,16,37,1,0,0,1,2,73,20
Vince Dunn,STL,D,32,4,4,8,5,8,68,0,2,2,0,0,21,22
Ethan Bear,EDM,D,33,4,5,9,-1,20,41,1,1,0,0,0,27,44
Scott Laughton,PHI,C,18,4,5,9,0,0,24,1,0,0,0,0,45,10
Chandler Stephenson,VGK,RW,28,4,1,5,6,8,22,2,0,0,0,1,25,15
Ben Chiarot,MON,D,32,4,7,11,9,18,71,2,0,0,0,0,83,53
Seth Jones,CLS,D,30,4,13,17,-3,12,70,0,1,5,0,0,28,62
Anders Bjork,BOS,LW,24,4,4,8,2,0,35,0,1,0,0,0,14,11
Sam Lafferty,PIT,RW,24,4,6,10,6,10,33,1,0,0,0,0,49,13
Mackenzie MacEachern,STL,LW,25,4,2,6,1,7,28,1,0,0,0,0,41,6
Jack Hughes,NJ,C,27,4,8,12,-7,6,52,1,3,2,0,0,5,9
Chris Tierney,OTT,C,32,4,13,17,-2,6,41,1,1,0,1,0,21,15
Sami Vatanen,NJ,D,26,4,9,13,0,10,55,0,1,5,0,0,28,47
Torey Krug,BOS,D,27,4,16,20,3,12,60,2,0,12,0,0,13,23
Ryan Ellis,NSH,D,29,4,16,20,10,11,69,1,0,4,0,0,26,54
Mark Giordano,CGY,D,33,4,12,16,-2,22,80,0,1,4,0,0,23,79
Mitch Marner,TOR,C,21,4,18,22,0,6,51,0,2,6,0,1,9,16
Mikhail Sergachev,TB,D,29,4,12,16,5,28,47,0,2,3,0,0,36,39
Warren Foegele,CAR,LW,31,4,8,12,5,10,55,0,0,0,0,0,40,7
Lucas Wallmark,CAR,C,31,4,6,10,-3,8,39,0,0,2,0,0,27,14
Alexandre Texier,CLS,C,26,4,3,7,-2,8,35,1,0,1,0,0,17,5
Sean Walker,LA,D,32,4,8,12,4,14,57,0,0,1,0,0,38,47
Ryan Hartman,MIN,RW,31,4,4,8,2,42,43,1,0,0,0,0,19,21
